condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
kubectl-axi,diagnose_crashloop,1,gemini-3.1-pro-preview,2026-07-09T20:54:29.205Z,true,54334,32196,465,0.065954,39.51,7,4,0
kubectl-axi,cluster_triage,1,gemini-3.1-pro-preview,2026-07-09T20:54:57.933Z,true,34117,16147,772,0.0532775,19.535,3,1,0
kubectl-axi,diagnose_pvc,1,gemini-3.1-pro-preview,2026-07-09T20:55:55.963Z,true,74013,48260,337,0.07968,51.111,7,4,0
kubectl-axi,diagnose_init,1,gemini-3.1-pro-preview,2026-07-09T20:56:54.788Z,true,53924,32196,401,0.064366,52.324,6,3,0
kubectl-axi,diagnose_rollout,1,gemini-3.1-pro-preview,2026-07-09T20:58:09.333Z,true,65969,40252,591,0.078652,67.341,7,4,0
kubectl-axi,diagnose_multicontainer,1,gemini-3.1-pro-preview,2026-07-09T20:58:51.776Z,true,53501,32191,413,0.0636715,35.139,6,3,0
kubectl-axi,diagnose_readiness,1,gemini-3.1-pro-preview,2026-07-09T20:59:32.342Z,true,53394,32213,278,0.0618045,34.195,5,4,0
kubectl-axi,diagnose_oom,1,gemini-3.1-pro-preview,2026-07-09T21:00:45.091Z,true,51979,32194,273,0.058943,66.256,5,2,0
kubectl-axi,diagnose_endpoints,1,gemini-3.1-pro-preview,2026-07-09T21:02:05.559Z,false,64471,40250,473,0.074243,78.81,6,3,0
kubectl-axi,diagnose_imagepull,1,gemini-3.1-pro-preview,2026-07-09T21:02:45.462Z,true,31112,16115,201,0.0404635,33.95,3,2,0
kubectl-axi,diagnose_configmap,1,gemini-3.1-pro-preview,2026-07-09T21:03:33.640Z,true,74069,44234,337,0.085831,40.454,7,3,1
kubectl-axi,node_health,1,gemini-3.1-pro-preview,2026-07-09T21:04:14.951Z,true,30292,16104,115,0.037808,34.842,3,1,0
kubectl-axi,healthy_namespace_check,1,gemini-3.1-pro-preview,2026-07-09T21:04:34.692Z,true,41231,24154,278,0.049567,14.403,4,2,0
