condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
kubectl-axi,diagnose_crashloop,1,gemini-3.5-flash,2026-07-09T20:12:58.810Z,true,130382,56699,1041,0.028959824999999998,48.041,10,5,0
kubectl-axi,diagnose_init,1,gemini-3.5-flash,2026-07-09T20:13:22.881Z,true,62335,40564,531,0.0109011,17.647,6,3,0
kubectl-axi,cluster_triage,1,gemini-3.5-flash,2026-07-09T20:14:27.866Z,true,77802,40663,1875,0.018878924999999998,55.343,5,2,0
kubectl-axi,diagnose_readiness,1,gemini-3.5-flash,2026-07-09T20:14:57.867Z,true,76669,48694,680,0.01374455,23.332,6,3,0
kubectl-axi,diagnose_oom,1,gemini-3.5-flash,2026-07-09T20:15:43.676Z,true,59615,40568,389,0.009729199999999999,39.462,5,2,0
kubectl-axi,diagnose_pvc,1,gemini-3.5-flash,2026-07-09T20:16:41.479Z,true,79996,48703,845,0.015153125,48.794,7,3,0
kubectl-axi,diagnose_imagepull,1,gemini-3.5-flash,2026-07-09T20:17:12.594Z,true,61865,40581,611,0.010956275,24.406,5,2,0
kubectl-axi,diagnose_multicontainer,1,gemini-3.5-flash,2026-07-09T20:17:43.166Z,true,75882,48689,516,0.013099574999999999,24.308,6,3,0
kubectl-axi,diagnose_rollout,1,gemini-3.5-flash,2026-07-09T20:18:45.824Z,true,82581,48663,872,0.016005125,54.478,9,6,0
kubectl-axi,healthy_namespace_check,1,gemini-3.5-flash,2026-07-09T20:19:43.533Z,true,72892,48670,490,0.01214185,47.939,6,5,0
kubectl-axi,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-09T20:20:34.244Z,true,38535,24375,141,0.006428625,43.383,3,2,0
kubectl-axi,diagnose_endpoints,1,gemini-3.5-flash,2026-07-09T20:21:23.925Z,true,75218,40576,751,0.015313299999999998,41.482,6,2,0
kubectl-axi,node_health,1,gemini-3.5-flash,2026-07-09T20:22:02.043Z,true,92638,56806,513,0.01629255,30.995,7,4,0
kubectl-axi,diagnose_configmap,1,gemini-3.5-flash,2026-07-09T20:22:34.810Z,true,61483,40579,466,0.010479625,25.656,5,2,0
kubectl-skill,diagnose_multicontainer,1,gemini-3.5-flash,2026-07-09T17:52:39.751Z,true,60808,40554,469,0.01029025,18.042,6,3,0
kubectl-skill,diagnose_endpoints,1,gemini-3.5-flash,2026-07-09T17:53:12.956Z,true,73732,48676,680,0.0128675,26.006,6,3,0
kubectl-skill,diagnose_imagepull,1,gemini-3.5-flash,2026-07-09T17:53:38.343Z,true,59902,40549,482,0.010052074999999999,19.486,6,3,0
kubectl-skill,diagnose_init,1,gemini-3.5-flash,2026-07-09T17:54:04.577Z,true,72787,48669,404,0.011895574999999999,19.99,6,3,0
kubectl-skill,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-09T17:54:36.993Z,true,70375,48654,601,0.01166785,24.367,6,3,0
kubectl-skill,diagnose_crashloop,1,gemini-3.5-flash,2026-07-09T17:59:20.591Z,true,83870,56752,737,0.0142343,276.61,7,4,0
kubectl-skill,diagnose_oom,1,gemini-3.5-flash,2026-07-09T17:59:47.119Z,true,58931,40562,483,0.009760350000000001,19.902,5,2,0
kubectl-skill,node_health,1,gemini-3.5-flash,2026-07-09T18:00:26.160Z,true,48964,32459,408,0.008405925,20.438,4,3,0
kubectl-skill,diagnose_pvc,1,gemini-3.5-flash,2026-07-09T18:01:12.283Z,true,72268,40555,827,0.014623025,38.593,6,3,0
kubectl-skill,diagnose_rollout,1,gemini-3.5-flash,2026-07-09T18:02:04.738Z,true,102508,56760,1244,0.0210914,44.078,8,5,0
kubectl-skill,diagnose_configmap,1,gemini-3.5-flash,2026-07-09T18:02:30.663Z,true,58991,40541,420,0.009625575,18.091,6,3,0
kubectl-skill,diagnose_readiness,1,gemini-3.5-flash,2026-07-09T18:03:03.486Z,true,75792,48662,857,0.01393115,25.583,7,4,0
kubectl-skill,healthy_namespace_check,1,gemini-3.5-flash,2026-07-09T18:03:48.542Z,true,128684,81263,968,0.022741024999999998,35.51,8,5,0
kubectl-skill,cluster_triage,1,gemini-3.5-flash,2026-07-09T18:05:15.754Z,true,122580,81228,2279,0.0241952,63.006,8,5,0
kubectl,node_health,1,gemini-3.5-flash,2026-07-09T17:43:46.298Z,true,46890,16229,326,0.011230474999999998,14.764,4,3,0
kubectl,diagnose_configmap,1,gemini-3.5-flash,2026-07-09T17:44:09.409Z,true,58175,40536,629,0.009904399999999999,16.342,6,3,0
kubectl,healthy_namespace_check,1,gemini-3.5-flash,2026-07-09T17:44:50.108Z,true,154569,89452,863,0.0284015,32.571,8,5,0
kubectl,diagnose_readiness,1,gemini-3.5-flash,2026-07-09T17:45:37.546Z,true,86877,56771,691,0.015017125,39.069,7,4,0
kubectl,diagnose_pvc,1,gemini-3.5-flash,2026-07-09T17:46:14.248Z,true,99094,64855,1028,0.017705824999999998,28.751,8,4,0
