condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
kubectl-axi,diagnose_readiness,1,gemini-3.5-flash,2026-07-09T18:08:33.502Z,true,123203,72889,1285,0.023773375,57.112,11,7,0
kubectl-axi,diagnose_init,1,gemini-3.5-flash,2026-07-09T18:09:00.300Z,true,59145,40543,508,0.009891325,16.72,6,3,0
kubectl-axi,diagnose_endpoints,1,gemini-3.5-flash,2026-07-09T18:12:48.946Z,true,1135513,852326,15647,0.18799805,221.264,39,28,2
kubectl-axi,diagnose_oom,1,gemini-3.5-flash,2026-07-09T18:13:11.946Z,true,58419,40538,548,0.00977465,15.981,6,3,0
kubectl-axi,diagnose_configmap,1,gemini-3.5-flash,2026-07-09T18:13:32.392Z,true,46862,32445,395,0.0077459749999999996,14.053,5,2,0
kubectl-axi,diagnose_rollout,1,gemini-3.5-flash,2026-07-09T18:14:17.921Z,true,108673,64768,1100,0.0207791,34.597,8,5,0
kubectl-axi,healthy_namespace_check,1,gemini-3.5-flash,2026-07-09T18:14:48.073Z,true,104180,64889,453,0.017786475,21.495,8,7,0
kubectl-axi,cluster_triage,1,gemini-3.5-flash,2026-07-09T18:15:55.165Z,true,193004,137690,2842,0.03402595,57.11,23,20,0
kubectl-axi,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-09T18:16:24.977Z,true,108724,72915,736,0.018051324999999997,22.912,9,6,0
kubectl-axi,diagnose_imagepull,1,gemini-3.5-flash,2026-07-09T18:16:48.308Z,true,57591,40553,599,0.009650375,16.776,5,2,0
kubectl-axi,diagnose_crashloop,1,gemini-3.5-flash,2026-07-09T18:17:22.538Z,true,83767,56643,694,0.014120424999999999,27.422,7,4,0
kubectl-axi,diagnose_multicontainer,1,gemini-3.5-flash,2026-07-09T18:17:48.385Z,true,59773,40547,605,0.010321325000000001,18.51,6,3,0
kubectl-axi,diagnose_pvc,1,gemini-3.5-flash,2026-07-09T18:18:25.167Z,true,95644,56772,843,0.018027,27.677,9,6,0
kubectl-axi,node_health,1,gemini-3.5-flash,2026-07-09T18:18:56.367Z,true,102743,64852,542,0.017586199999999996,24.753,8,5,0
kubectl-skill,diagnose_multicontainer,1,gemini-3.5-flash,2026-07-09T17:52:39.751Z,true,60808,40554,469,0.01029025,18.042,6,3,0
kubectl-skill,diagnose_endpoints,1,gemini-3.5-flash,2026-07-09T17:53:12.956Z,true,73732,48676,680,0.0128675,26.006,6,3,0
kubectl-skill,diagnose_imagepull,1,gemini-3.5-flash,2026-07-09T17:53:38.343Z,true,59902,40549,482,0.010052074999999999,19.486,6,3,0
kubectl-skill,diagnose_init,1,gemini-3.5-flash,2026-07-09T17:54:04.577Z,true,72787,48669,404,0.011895574999999999,19.99,6,3,0
kubectl-skill,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-09T17:54:36.993Z,true,70375,48654,601,0.01166785,24.367,6,3,0
kubectl-skill,diagnose_crashloop,1,gemini-3.5-flash,2026-07-09T17:59:20.591Z,true,83870,56752,737,0.0142343,276.61,7,4,0
kubectl-skill,diagnose_oom,1,gemini-3.5-flash,2026-07-09T17:59:47.119Z,true,58931,40562,483,0.009760350000000001,19.902,5,2,0
kubectl-skill,node_health,1,gemini-3.5-flash,2026-07-09T18:00:26.160Z,true,48964,32459,408,0.008405925,20.438,4,3,0
kubectl-skill,diagnose_pvc,1,gemini-3.5-flash,2026-07-09T18:01:12.283Z,true,72268,40555,827,0.014623025,38.593,6,3,0
kubectl-skill,diagnose_rollout,1,gemini-3.5-flash,2026-07-09T18:02:04.738Z,true,102508,56760,1244,0.0210914,44.078,8,5,0
kubectl-skill,diagnose_configmap,1,gemini-3.5-flash,2026-07-09T18:02:30.663Z,true,58991,40541,420,0.009625575,18.091,6,3,0
kubectl-skill,diagnose_readiness,1,gemini-3.5-flash,2026-07-09T18:03:03.486Z,true,75792,48662,857,0.01393115,25.583,7,4,0
kubectl-skill,healthy_namespace_check,1,gemini-3.5-flash,2026-07-09T18:03:48.542Z,true,128684,81263,968,0.022741024999999998,35.51,8,5,0
kubectl-skill,cluster_triage,1,gemini-3.5-flash,2026-07-09T18:05:15.754Z,true,122580,81228,2279,0.0241952,63.006,8,5,0
kubectl,node_health,1,gemini-3.5-flash,2026-07-09T17:43:46.298Z,true,46890,16229,326,0.011230474999999998,14.764,4,3,0
kubectl,diagnose_configmap,1,gemini-3.5-flash,2026-07-09T17:44:09.409Z,true,58175,40536,629,0.009904399999999999,16.342,6,3,0
kubectl,healthy_namespace_check,1,gemini-3.5-flash,2026-07-09T17:44:50.108Z,true,154569,89452,863,0.0284015,32.571,8,5,0
kubectl,diagnose_readiness,1,gemini-3.5-flash,2026-07-09T17:45:37.546Z,true,86877,56771,691,0.015017125,39.069,7,4,0
kubectl,diagnose_pvc,1,gemini-3.5-flash,2026-07-09T17:46:14.248Z,true,99094,64855,1028,0.017705824999999998,28.751,8,4,0
kubectl,diagnose_endpoints,1,gemini-3.5-flash,2026-07-09T17:47:13.087Z,true,71851,48664,589,0.0120784,51.861,6,3,0
kubectl,diagnose_rollout,1,gemini-3.5-flash,2026-07-09T17:47:53.773Z,true,77920,40548,1031,0.0168302,33.52,8,5,0
kubectl,diagnose_unschedulable,1,gemini-3.5-flash,2026-07-09T17:48:22.640Z,true,69795,48650,648,0.01161225,22.545,6,3,0
kubectl,cluster_triage,1,gemini-3.5-flash,2026-07-09T17:49:57.402Z,true,134702,89416,3214,0.028327,82.125,8,5,0
kubectl,diagnose_crashloop,1,gemini-3.5-flash,2026-07-09T17:50:37.189Z,true,100610,64864,914,0.0178736,32.776,8,5,0
kubectl,diagnose_oom,1,gemini-3.5-flash,2026-07-09T17:50:59.431Z,true,34259,24350,185,0.00526145,12.519,3,2,0
kubectl,diagnose_imagepull,1,gemini-3.5-flash,2026-07-09T17:51:26.000Z,true,47496,24338,471,0.00995025,20.582,5,2,0
kubectl,diagnose_multicontainer,1,gemini-3.5-flash,2026-07-09T17:51:48.756Z,true,75332,48683,594,0.013130925,16.109,6,3,0
kubectl,diagnose_init,1,gemini-3.5-flash,2026-07-09T17:52:15.485Z,true,69858,48650,425,0.011073649999999999,20.402,6,3,0
