condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
kubectl-axi,diagnose_init,1,gemini-3.5-flash,2026-07-10T06:03:50.197Z,true,88294,56781,518,0.015007475,36.935,7,4,0
kubectl-axi,diagnose_init,2,gemini-3.5-flash,2026-07-10T06:04:34.187Z,true,89031,56786,634,0.01551745,30.888,7,4,0
kubectl-axi,diagnose_init,3,gemini-3.5-flash,2026-07-10T06:05:30.036Z,true,76371,48632,789,0.013941599999999998,43,9,4,0
kubectl-axi,diagnose_init,4,gemini-3.5-flash,2026-07-10T06:06:15.609Z,true,74933,48683,678,0.013221225,20.075,6,3,0
kubectl-axi,diagnose_init,5,gemini-3.5-flash,2026-07-10T06:06:47.987Z,true,74616,48680,521,0.012734299999999999,19.821,6,3,0
kubectl-axi,diagnose_crashloop,1,gemini-3.5-flash,2026-07-10T06:07:28.853Z,true,87584,56776,690,0.015225599999999999,25.677,7,4,0
kubectl-axi,diagnose_crashloop,2,gemini-3.5-flash,2026-07-10T06:08:12.327Z,true,89157,56786,810,0.01599525,30.386,7,4,0
kubectl-axi,diagnose_crashloop,3,gemini-3.5-flash,2026-07-10T06:08:51.735Z,true,88100,56779,922,0.015959724999999998,26.422,7,4,0
kubectl-axi,diagnose_crashloop,4,gemini-3.5-flash,2026-07-10T06:09:24.249Z,true,63827,40564,740,0.011871199999999998,19.604,7,4,0
kubectl-axi,diagnose_crashloop,5,gemini-3.5-flash,2026-07-10T06:10:09.492Z,true,88555,56783,741,0.015642825,32.335,7,4,0
kubectl-axi,healthy_namespace_check,1,gemini-3.5-flash,2026-07-10T06:10:57.545Z,true,72788,48643,444,0.012001725,34.653,7,4,0
kubectl-axi,healthy_namespace_check,2,gemini-3.5-flash,2026-07-10T06:11:31.236Z,true,61447,40559,555,0.010695824999999999,21.213,6,3,0
kubectl-axi,healthy_namespace_check,3,gemini-3.5-flash,2026-07-10T06:12:56.530Z,true,73206,48671,374,0.011945825,70.757,6,3,0
kubectl-axi,healthy_namespace_check,4,gemini-3.5-flash,2026-07-10T06:13:23.424Z,true,48085,32469,308,0.007889975,14.368,4,3,0
kubectl-axi,healthy_namespace_check,5,gemini-3.5-flash,2026-07-10T06:14:01.251Z,true,98265,64850,602,0.01639325,23.709,8,5,0
kubectl-axi,diagnose_imagepull,1,gemini-3.5-flash,2026-07-10T06:14:33.305Z,true,60497,40573,511,0.010297675,19.694,5,2,0
kubectl-axi,diagnose_imagepull,2,gemini-3.5-flash,2026-07-10T06:15:23.294Z,true,61268,40578,485,0.010462850000000001,34.557,5,2,0
kubectl-axi,diagnose_imagepull,3,gemini-3.5-flash,2026-07-10T06:16:30.675Z,true,65221,40600,508,0.0117013,53.707,5,2,0
kubectl-axi,diagnose_imagepull,4,gemini-3.5-flash,2026-07-10T06:17:13.090Z,true,80204,48712,832,0.015181,28.947,6,2,0
