condition,task,run,model,timestamp,success,input_tokens,input_tokens_cached,output_tokens,total_cost_usd,wall_clock_seconds,turn_count,command_count,error_count
kubectl-axi,diagnose_init,1,gemini-3.1-pro-preview,2026-07-10T02:56:07.427Z,true,75586,48282,352,0.082973,26.361,7,4,0
kubectl-axi,diagnose_init,2,gemini-3.1-pro-preview,2026-07-10T02:56:35.337Z,true,52938,32207,238,0.0604215,15.237,5,4,0
kubectl-axi,diagnose_init,3,gemini-3.1-pro-preview,2026-07-10T02:57:06.757Z,true,42697,24172,228,0.051872,17.913,4,3,0
kubectl-axi,diagnose_init,4,gemini-3.1-pro-preview,2026-07-10T02:57:35.339Z,true,42551,24170,253,0.051883,15.62,4,3,0
kubectl-axi,diagnose_init,5,gemini-3.1-pro-preview,2026-07-10T02:58:15.011Z,true,75065,48275,425,0.0828175,25.838,7,4,0
kubectl-axi,diagnose_configmap,1,gemini-3.1-pro-preview,2026-07-10T02:58:40.188Z,false,41726,24160,197,0.049576,16.947,4,3,0
kubectl-axi,diagnose_configmap,2,gemini-3.1-pro-preview,2026-07-10T02:59:06.099Z,true,52305,32199,310,0.0600315,13.003,5,2,0
kubectl-axi,diagnose_configmap,3,gemini-3.1-pro-preview,2026-07-10T02:59:27.617Z,true,30598,16107,126,0.0385475,7.979,3,2,0
kubectl-axi,diagnose_configmap,4,gemini-3.1-pro-preview,2026-07-10T02:59:48.354Z,false,41401,24156,191,0.04886,12.568,4,3,0
kubectl-axi,diagnose_configmap,5,gemini-3.1-pro-preview,2026-07-10T03:00:12.061Z,true,30959,16112,166,0.039742,10.668,3,2,0
kubectl-axi,node_health,1,gemini-3.1-pro-preview,2026-07-10T03:00:34.409Z,true,32068,16125,127,0.0414725,9.292,3,2,0
kubectl-axi,node_health,2,gemini-3.1-pro-preview,2026-07-10T03:01:15.622Z,true,44940,24180,310,0.05733,28.085,5,2,0
kubectl-axi,node_health,3,gemini-3.1-pro-preview,2026-07-10T03:01:53.717Z,true,67349,40282,352,0.078499,24.768,6,3,0
kubectl-axi,node_health,4,gemini-3.1-pro-preview,2026-07-10T03:02:21.051Z,true,41301,24155,260,0.0494895,13.543,4,1,0
kubectl-axi,node_health,5,gemini-3.1-pro-preview,2026-07-10T03:02:52.106Z,true,54481,32225,216,0.0632165,15.634,5,2,0
